tw_id,sentiment_labels,sentiment_winner,stance_labels,stance_winner
1104121240661487616,3|3|3|1,3,1|1|1|3,1
1103657392666013698,1|1|0|0,-1,NA|NA|NA|NA,NA
1296418314177130496,1|3|1|3,-1,1|1|1|1,1
1296371903746265089,0|0|0|0,0,NA|NA|NA|NA,NA
1264904956248764417,2|1|3|1,1,3|1|3|0,3
1264866851013754880,1|1|3|1,1,NA|NA|NA|NA,NA
1267926864519102464,1|1|1|1,1,1|1|1|1,1
1267802081793994754,1|1|1|1,1,NA|NA|NA|NA,NA
1158503580367822848,1|1|1|1,1,1|1|1|1,1
1158159950058860544,0|0|0|0,0,NA|NA|NA|NA,NA
1308917540928860162,3|1|3|1,-1,1|1|1|1,1
1305852722109915138,0|0|0|0,0,NA|NA|NA|NA,NA
1285584727970373632,1|3|3|1,-1,1|1|1|1,1
1285514724814327808,1|3|3|3,3,NA|NA|NA|NA,NA
1303818532732448773,3|3|1|4,3,1|1|1|3,1
1303807266710323212,0|0|0|4,0,NA|NA|NA|NA,NA
1270111299821846529,2|0|1|0,0,0|0|1|0,0
1270105492975747074,1|1|3|0,1,NA|NA|NA|NA,NA
1275170273684307970,2|3|3|0,3,0|0|1|0,0
1275168365234065411,3|3|3|0,3,NA|NA|NA|NA,NA
1251586803091550212,0|0|0|0,0,0|0|0|0,0
1251583129141366790,2|2|0|1,2,NA|NA|NA|NA,NA
955972549967536128,3|3|3|3,3,1|1|1|3,1
955951127157264384,0|2|0|0,0,NA|NA|NA|NA,NA
1105176298526257153,0|0|0|0,0,0|0|0|0,0
1105165159750881281,0|0|0|0,0,NA|NA|NA|NA,NA
1274851463676801025,1|1|1|1,1,1|1|1|1,1
1274760755762651143,0|0|0|0,0,NA|NA|NA|NA,NA
1270017155426287619,3|3|3|2,3,1|1|1|1,1
1269979302994628610,3|3|3|3,3,NA|NA|NA|NA,NA
1278354952969166850,1|1|1|1,1,1|1|1|1,1
1278314935043358721,0|0|0|0,0,NA|NA|NA|NA,NA
1272112510754271233,0|0|3|0,0,0|0|0|0,0
1271401355895324675,3|3|3|3,3,NA|NA|NA|NA,NA
1177847700265603072,0|0|0|0,0,0|0|0|0,0
1177515707010957312,1|2|1|1,1,NA|NA|NA|NA,NA
